Mėnuo     	liko mokėti     	mokėstis     	Palukanos     	Kreditas     	
63        	885071,89        	4216,04        	2212,68        	2003,36        	
64        	883068,53        	4216,04        	2207,67        	2008,37        	
65        	881060,16        	4216,04        	2202,65        	2013,39        	
66        	879046,77        	4216,04        	2197,62        	2018,42        	
67        	877028,34        	4216,04        	2192,57        	2023,47        	
68        	875004,88        	4216,04        	2187,51        	2028,53        	
69        	872976,35        	4216,04        	2182,44        	2033,60        	
70        	870942,75        	4216,04        	2177,36        	2038,68        	
71        	868904,06        	4216,04        	2172,26        	2043,78        	
72        	866860,28        	4216,04        	2167,15        	2048,89        	
73        	864811,39        	4216,04        	2162,03        	2054,01        	
74        	862757,38        	4216,04        	2156,89        	2059,15        	
75        	860698,24        	4216,04        	2151,75        	2064,29        	
76        	858633,94        	4216,04        	2146,58        	2069,46        	
77        	856564,49        	4216,04        	2141,41        	2074,63        	
78        	854489,86        	4216,04        	2136,22        	2079,82        	
79        	852410,04        	4216,04        	2131,03        	2085,02        	
80        	850325,03        	4216,04        	2125,81        	2090,23        	
81        	848234,80        	4216,04        	2120,59        	2095,45        	
82        	846139,34        	4216,04        	2115,35        	2100,69        	
83        	844038,65        	4216,04        	2110,10        	2105,94        	
84        	841932,71        	4216,04        	2104,83        	2111,21        	
85        	839821,50        	4216,04        	2099,55        	2116,49        	
86        	837705,01        	4216,04        	2094,26        	2121,78        	
87        	835583,24        	4216,04        	2088,96        	2127,08        	
88        	833456,15        	4216,04        	2083,64        	2132,40        	
89        	831323,75        	4216,04        	2078,31        	2137,73        	
90        	829186,02        	4216,04        	2072,97        	2143,08        	
91        	827042,95        	4216,04        	2067,61        	2148,43        	
92        	824894,51        	4216,04        	2062,24        	2153,80        	
93        	822740,71        	4216,04        	2056,85        	2159,19        	
94        	820581,52        	4216,04        	2051,45        	2164,59        	
95        	818416,93        	4216,04        	2046,04        	2170,00        	
96        	816246,94        	4216,04        	2040,62        	2175,42        	
97        	814071,51        	4216,04        	2035,18        	2180,86        	
98        	811890,65        	4216,04        	2029,73        	2186,31        	
99        	809704,34        	4216,04        	2024,26        	2191,78        	
100        	807512,56        	4216,04        	2018,78        	2197,26        	
101        	805315,30        	4216,04        	2013,29        	2202,75        	
102        	803112,55        	4216,04        	2007,78        	2208,26        	
103        	800904,29        	4216,04        	2002,26        	2213,78        	
104        	798690,51        	4216,04        	1996,73        	2219,31        	
105        	796471,20        	4216,04        	1991,18        	2224,86        	
106        	794246,33        	4216,04        	1985,62        	2230,42        	
107        	792015,91        	4216,04        	1980,04        	2236,00        	
108        	789779,91        	4216,04        	1974,45        	2241,59        	
109        	787538,32        	4216,04        	1968,85        	2247,19        	
110        	785291,12        	4216,04        	1963,23        	2252,81        	
111        	783038,31        	4216,04        	1957,60        	2258,44        	
112        	780779,87        	4216,04        	1951,95        	2264,09        	
113        	778515,78        	4216,04        	1946,29        	2269,75        	
114        	776246,02        	4216,04        	1940,62        	2275,43        	
115        	773970,60        	4216,04        	1934,93        	2281,11        	
116        	771689,49        	4216,04        	1929,22        	2286,82        	
117        	769402,67        	4216,04        	1923,51        	2292,53        	
118        	767110,13        	4216,04        	1917,78        	2298,27        	
119        	764811,87        	4216,04        	1912,03        	2304,01        	
120        	762507,86        	4216,04        	1906,27        	2309,77        	
121        	760198,09        	4216,04        	1900,50        	2315,55        	
122        	757882,54        	4216,04        	1894,71        	2321,33        	
123        	755561,21        	4216,04        	1888,90        	2327,14        	
124        	753234,07        	4216,04        	1883,09        	2332,96        	
125        	750901,12        	4216,04        	1877,25        	2338,79        	
126        	748562,33        	4216,04        	1871,41        	2344,63        	
127        	746217,69        	4216,04        	1865,54        	2350,50        	
128        	743867,20        	4216,04        	1859,67        	2356,37        	
129        	741510,83        	4216,04        	1853,78        	2362,26        	
130        	739148,56        	4216,04        	1847,87        	2368,17        	
131        	736780,39        	4216,04        	1841,95        	2374,09        	
132        	734406,30        	4216,04        	1836,02        	2380,02        	
133        	732026,28        	4216,04        	1830,07        	2385,97        	
134        	729640,31        	4216,04        	1824,10        	2391,94        	
135        	727248,37        	4216,04        	1818,12        	2397,92        	
136        	724850,45        	4216,04        	1812,13        	2403,91        	
137        	722446,53        	4216,04        	1806,12        	2409,92        	
138        	720036,61        	4216,04        	1800,09        	2415,95        	
139        	717620,66        	4216,04        	1794,05        	2421,99        	
140        	715198,67        	4216,04        	1788,00        	2428,04        	
141        	712770,63        	4216,04        	1781,93        	2434,11        	
142        	710336,51        	4216,04        	1775,84        	2440,20        	
143        	707896,31        	4216,04        	1769,74        	2446,30        	
144        	705450,01        	4216,04        	1763,63        	2452,42        	
145        	702997,60        	4216,04        	1757,49        	2458,55        	
146        	700539,05        	4216,04        	1751,35        	2464,69        	
147        	698074,36        	4216,04        	1745,19        	2470,85        	
148        	695603,51        	4216,04        	1739,01        	2477,03        	
149        	693126,47        	4216,04        	1732,82        	2483,22        	
150        	690643,25        	4216,04        	1726,61        	2489,43        	
151        	688153,82        	4216,04        	1720,38        	2495,66        	
152        	685658,16        	4216,04        	1714,15        	2501,89        	
153        	683156,27        	4216,04        	1707,89        	2508,15        	
154        	680648,12        	4216,04        	1701,62        	2514,42        	
155        	678133,70        	4216,04        	1695,33        	2520,71        	
156        	675612,99        	4216,04        	1689,03        	2527,01        	
157        	673085,98        	4216,04        	1682,71        	2533,33        	
158        	670552,66        	4216,04        	1676,38        	2539,66        	
159        	668013,00        	4216,04        	1670,03        	2546,01        	
160        	665466,99        	4216,04        	1663,67        	2552,37        	
161        	662914,62        	4216,04        	1657,29        	2558,75        	
162        	660355,87        	4216,04        	1650,89        	2565,15        	
163        	657790,71        	4216,04        	1644,48        	2571,56        	
164        	655219,15        	4216,04        	1638,05        	2577,99        	
165        	652641,16        	4216,04        	1631,60        	2584,44        	
166        	650056,72        	4216,04        	1625,14        	2590,90        	
167        	647465,82        	4216,04        	1618,66        	2597,38        	
168        	644868,45        	4216,04        	1612,17        	2603,87        	
169        	642264,58        	4216,04        	1605,66        	2610,38        	
170        	639654,20        	4216,04        	1599,14        	2616,90        	
171        	637037,29        	4216,04        	1592,59        	2623,45        	
172        	634413,85        	4216,04        	1586,03        	2630,01        	
173        	631783,84        	4216,04        	1579,46        	2636,58        	
174        	629147,26        	4216,04        	1572,87        	2643,17        	
175        	626504,09        	4216,04        	1566,26        	2649,78        	
176        	623854,31        	4216,04        	1559,64        	2656,40        	
177        	621197,90        	4216,04        	1552,99        	2663,05        	
178        	618534,86        	4216,04        	1546,34        	2669,70        	
179        	615865,15        	4216,04        	1539,66        	2676,38        	
180        	613188,78        	4216,04        	1532,97        	2683,07        	
181        	610505,71        	4216,04        	1526,26        	2689,78        	
182        	607815,93        	4216,04        	1519,54        	2696,50        	
183        	605119,43        	4216,04        	1512,80        	2703,24        	
184        	602416,19        	4216,04        	1506,04        	2710,00        	
185        	599706,19        	4216,04        	1499,27        	2716,77        	
186        	596989,42        	4216,04        	1492,47        	2723,57        	
187        	594265,85        	4216,04        	1485,66        	2730,38        	
188        	591535,47        	4216,04        	1478,84        	2737,20        	
189        	588798,27        	4216,04        	1472,00        	2744,04        	
190        	586054,23        	4216,04        	1465,14        	2750,90        	
191        	583303,32        	4216,04        	1458,26        	2757,78        	
192        	580545,54        	4216,04        	1451,36        	2764,68        	
193        	577780,86        	4216,04        	1444,45        	2771,59        	
194        	575009,28        	4216,04        	1437,52        	2778,52        	
195        	572230,76        	4216,04        	1430,58        	2785,46        	
196        	569445,29        	4216,04        	1423,61        	2792,43        	
197        	566652,87        	4216,04        	1416,63        	2799,41        	
198        	563853,46        	4216,04        	1409,63        	2806,41        	
199        	561047,05        	4216,04        	1402,62        	2813,42        	
200        	558233,63        	4216,04        	1395,58        	2820,46        	
201        	555413,17        	4216,04        	1388,53        	2827,51        	
202        	552585,67        	4216,04        	1381,46        	2834,58        	
203        	549751,09        	4216,04        	1374,38        	2841,66        	
204        	546909,43        	4216,04        	1367,27        	2848,77        	
205        	544060,66        	4216,04        	1360,15        	2855,89        	
206        	541204,77        	4216,04        	1353,01        	2863,03        	
207        	538341,74        	4216,04        	1345,85        	2870,19        	
208        	535471,56        	4216,04        	1338,68        	2877,36        	
209        	532594,20        	4216,04        	1331,49        	2884,55        	
210        	529709,64        	4216,04        	1324,27        	2891,77        	
211        	526817,88        	4216,04        	1317,04        	2899,00        	
212        	523918,88        	4216,04        	1309,80        	2906,24        	
213        	521012,64        	4216,04        	1302,53        	2913,51        	
214        	518099,13        	4216,04        	1295,25        	2920,79        	
215        	515178,34        	4216,04        	1287,95        	2928,09        	
216        	512250,24        	4216,04        	1280,63        	2935,41        	
217        	509314,83        	4216,04        	1273,29        	2942,75        	
218        	506372,07        	4216,04        	1265,93        	2950,11        	
219        	503421,96        	4216,04        	1258,55        	2957,49        	
220        	500464,48        	4216,04        	1251,16        	2964,88        	
221        	497499,60        	4216,04        	1243,75        	2972,29        	
222        	494527,31        	4216,04        	1236,32        	2979,72        	
223        	491547,58        	4216,04        	1228,87        	2987,17        	
224        	488560,41        	4216,04        	1221,40        	2994,64        	
225        	485565,77        	4216,04        	1213,91        	3002,13        	
226        	482563,65        	4216,04        	1206,41        	3009,63        	
227        	479554,02        	4216,04        	1198,89        	3017,16        	
228        	476536,86        	4216,04        	1191,34        	3024,70        	
229        	473512,16        	4216,04        	1183,78        	3032,26        	
230        	470479,90        	4216,04        	1176,20        	3039,84        	
231        	467440,06        	4216,04        	1168,60        	3047,44        	
232        	464392,62        	4216,04        	1160,98        	3055,06        	
233        	461337,56        	4216,04        	1153,34        	3062,70        	
234        	458274,87        	4216,04        	1145,69        	3070,35        	
235        	455204,51        	4216,04        	1138,01        	3078,03        	
236        	452126,49        	4216,04        	1130,32        	3085,72        	
237        	449040,76        	4216,04        	1122,60        	3093,44        	
238        	445947,32        	4216,04        	1114,87        	3101,17        	
239        	442846,15        	4216,04        	1107,12        	3108,92        	
240        	439737,23        	4216,04        	1099,34        	3116,70        	
241        	436620,53        	4216,04        	1091,55        	3124,49        	
242        	433496,04        	4216,04        	1083,74        	3132,30        	
243        	430363,74        	4216,04        	1075,91        	3140,13        	
244        	427223,61        	4216,04        	1068,06        	3147,98        	
245        	424075,63        	4216,04        	1060,19        	3155,85        	
246        	420919,78        	4216,04        	1052,30        	3163,74        	
247        	417756,03        	4216,04        	1044,39        	3171,65        	
248        	414584,38        	4216,04        	1036,46        	3179,58        	
249        	411404,81        	4216,04        	1028,51        	3187,53        	
250        	408217,28        	4216,04        	1020,54        	3195,50        	
251        	405021,78        	4216,04        	1012,55        	3203,49        	
252        	401818,29        	4216,04        	1004,55        	3211,49        	
253        	398606,80        	4216,04        	996,52        	3219,52        	
254        	395387,28        	4216,04        	988,47        	3227,57        	
255        	392159,70        	4216,04        	980,40        	3235,64        	
256        	388924,06        	4216,04        	972,31        	3243,73        	
257        	385680,33        	4216,04        	964,20        	3251,84        	
258        	382428,49        	4216,04        	956,07        	3259,97        	
259        	379168,52        	4216,04        	947,92        	3268,12        	
260        	375900,40        	4216,04        	939,75        	3276,29        	
261        	372624,12        	4216,04        	931,56        	3284,48        	
262        	369339,64        	4216,04        	923,35        	3292,69        	
263        	366046,94        	4216,04        	915,12        	3300,92        	
264        	362746,02        	4216,04        	906,87        	3309,18        	
265        	359436,85        	4216,04        	898,59        	3317,45        	
266        	356119,40        	4216,04        	890,30        	3325,74        	
267        	352793,66        	4216,04        	881,98        	3334,06        	
268        	349459,60        	4216,04        	873,65        	3342,39        	
269        	346117,21        	4216,04        	865,29        	3350,75        	
270        	342766,46        	4216,04        	856,92        	3359,12        	
271        	339407,34        	4216,04        	848,52        	3367,52        	
272        	336039,81        	4216,04        	840,10        	3375,94        	
273        	332663,87        	4216,04        	831,66        	3384,38        	
274        	329279,49        	4216,04        	823,20        	3392,84        	
275        	325886,65        	4216,04        	814,72        	3401,32        	
276        	322485,33        	4216,04        	806,21        	3409,83        	
277        	319075,50        	4216,04        	797,69        	3418,35        	
278        	315657,15        	4216,04        	789,14        	3426,90        	
279        	312230,25        	4216,04        	780,58        	3435,46        	
280        	308794,79        	4216,04        	771,99        	3444,05        	
281        	305350,73        	4216,04        	763,38        	3452,66        	
282        	301898,07        	4216,04        	754,75        	3461,30        	
283        	298436,78        	4216,04        	746,09        	3469,95        	
284        	294966,83        	4216,04        	737,42        	3478,62        	
285        	291488,20        	4216,04        	728,72        	3487,32        	
286        	288000,88        	4216,04        	720,00        	3496,04        	
287        	284504,85        	4216,04        	711,26        	3504,78        	
288        	281000,07        	4216,04        	702,50        	3513,54        	
289        	277486,53        	4216,04        	693,72        	3522,32        	
290        	273964,20        	4216,04        	684,91        	3531,13        	
291        	270433,07        	4216,04        	676,08        	3539,96        	
292        	266893,12        	4216,04        	667,23        	3548,81        	
293        	263344,31        	4216,04        	658,36        	3557,68        	
294        	259786,63        	4216,04        	649,47        	3566,57        	
295        	256220,05        	4216,04        	640,55        	3575,49        	
296        	252644,56        	4216,04        	631,61        	3584,43        	
297        	249060,14        	4216,04        	622,65        	3593,39        	
298        	245466,75        	4216,04        	613,67        	3602,37        	
299        	241864,37        	4216,04        	604,66        	3611,38        	
300        	238252,99        	4216,04        	595,63        	3620,41        	
301        	234632,58        	4216,04        	586,58        	3629,46        	
302        	231003,13        	4216,04        	577,51        	3638,53        	
303        	227364,59        	4216,04        	568,41        	3647,63        	
304        	223716,96        	4216,04        	559,29        	3656,75        	
305        	220060,22        	4216,04        	550,15        	3665,89        	
306        	216394,33        	4216,04        	540,99        	3675,05        	
307        	212719,27        	4216,04        	531,80        	3684,24        	
308        	209035,03        	4216,04        	522,59        	3693,45        	
309        	205341,58        	4216,04        	513,35        	3702,69        	
310        	201638,89        	4216,04        	504,10        	3711,94        	
311        	197926,95        	4216,04        	494,82        	3721,22        	
312        	194205,72        	4216,04        	485,51        	3730,53        	
313        	190475,20        	4216,04        	476,19        	3739,85        	
314        	186735,35        	4216,04        	466,84        	3749,20        	
315        	182986,14        	4216,04        	457,47        	3758,57        	
316        	179227,57        	4216,04        	448,07        	3767,97        	
317        	175459,60        	4216,04        	438,65        	3777,39        	
318        	171682,21        	4216,04        	429,21        	3786,83        	
319        	167895,37        	4216,04        	419,74        	3796,30        	
320        	164099,07        	4216,04        	410,25        	3805,79        	
321        	160293,28        	4216,04        	400,73        	3815,31        	
322        	156477,97        	4216,04        	391,19        	3824,85        	
323        	152653,12        	4216,04        	381,63        	3834,41        	
324        	148818,72        	4216,04        	372,05        	3843,99        	
325        	144974,72        	4216,04        	362,44        	3853,60        	
326        	141121,12        	4216,04        	352,80        	3863,24        	
327        	137257,88        	4216,04        	343,14        	3872,90        	
328        	133384,99        	4216,04        	333,46        	3882,58        	
329        	129502,41        	4216,04        	323,76        	3892,28        	
330        	125610,13        	4216,04        	314,03        	3902,02        	
331        	121708,11        	4216,04        	304,27        	3911,77        	
332        	117796,34        	4216,04        	294,49        	3921,55        	
333        	113874,79        	4216,04        	284,69        	3931,35        	
334        	109943,44        	4216,04        	274,86        	3941,18        	
335        	106002,26        	4216,04        	265,01        	3951,03        	
336        	102051,22        	4216,04        	255,13        	3960,91        	
337        	98090,31        	4216,04        	245,23        	3970,81        	
338        	94119,49        	4216,04        	235,30        	3980,74        	
339        	90138,75        	4216,04        	225,35        	3990,69        	
340        	86148,06        	4216,04        	215,37        	4000,67        	
341        	82147,39        	4216,04        	205,37        	4010,67        	
342        	78136,72        	4216,04        	195,34        	4020,70        	
343        	74116,02        	4216,04        	185,29        	4030,75        	
344        	70085,27        	4216,04        	175,21        	4040,83        	
345        	66044,44        	4216,04        	165,11        	4050,93        	
346        	61993,51        	4216,04        	154,98        	4061,06        	
347        	57932,45        	4216,04        	144,83        	4071,21        	
348        	53861,25        	4216,04        	134,65        	4081,39        	
349        	49779,86        	4216,04        	124,45        	4091,59        	
350        	45688,27        	4216,04        	114,22        	4101,82        	
351        	41586,45        	4216,04        	103,97        	4112,07        	
352        	37474,37        	4216,04        	93,69        	4122,35        	
353        	33352,02        	4216,04        	83,38        	4132,66        	
354        	29219,36        	4216,04        	73,05        	4142,99        	
355        	25076,37        	4216,04        	62,69        	4153,35        	
356        	20923,02        	4216,04        	52,31        	4163,73        	
357        	16759,29        	4216,04        	41,90        	4174,14        	
358        	12585,14        	4216,04        	31,46        	4184,58        	
359        	8400,57        	4216,04        	21,00        	4195,04        	
360        	4205,53        	4216,04        	10,51        	4205,53        	
